diam	0s	2s	5s	7s	10s	20s	30s	60s	120s	180s	240s	300s
52.587344307977	0.0018625423320559	0.0020062682779479	-0.00230987715518014	4.49311454342043E-4	-0.00202100660513462	-0.00291788125207132	-0.00360443789101409	-0.00319077678870597	-2.79978507708557E-4	-1.66768081777331E-4	-7.10964119690451E-4	-0.00196830726783438
52.6265766013151	0.00202794184416899	0.00202229669073042	-0.00231408713784451	4.79483003907662E-4	-0.00190006171722977	-0.00296595787599645	-0.00359510080313205	-0.00324341068221873	-2.58508653231424E-4	-1.74983258219564E-4	-7.29817744763508E-4	-0.00194172793611546
52.6658354260614	0.00205239220682917	0.0020415851196721	-0.00232391043072802	5.21342631232935E-4	-0.00180050128776608	-0.00302277570427161	-0.00359284702329846	-0.00329023036656436	-2.46613193318418E-4	-1.59374422979321E-4	-7.45022281112748E-4	-0.00191766286550507
52.7052387033805	0.00192294911039286	0.00205435351629546	-0.00234881949482549	5.71356731413778E-4	-0.00173915243158246	-0.0030617749236794	-0.00359606670877502	-0.0033367440399012	-2.49224391835909E-4	-1.30895144646246E-4	-7.64484087639774E-4	-0.00191155680281288
52.7445505121383	0.00166693943077436	0.0020489201560302	-0.00238951599391432	6.1647814788128E-4	-0.00172162418695857	-0.00308329173438714	-0.00359703261441799	-0.00337132328389505	-2.66922515121112E-4	-9.91297957362788E-5	-7.91548162341421E-4	-0.00192017712661362
52.7838889326883	0.00134476994631064	0.0020312617351681	-0.00243617663511101	6.49639670827274E-4	-0.00174511203475458	-0.00309976554258528	-0.00359123718056017	-0.00337836153709733	-2.93324633464613E-4	-6.57214115378645E-5	-8.25606323763718E-4	-0.00193705859405672
52.8233721253388	0.0010571186208966	0.00202338336278347	-0.00247231231964679	6.70569484489911E-4	-0.00179629450905635	-0.00311388594961223	-0.00357932434429689	-0.00335847082152565	-3.17985952796454E-4	-2.98484744067801E-5	-8.59664485186015E-4	-0.00196758890751766
52.8627636905371	8.96033878664735E-4	0.00203289174324768	-0.00247897812553203	6.62958643158043E-4	-0.0018600973194873	-0.00312161855346034	-0.0035680554451289	-0.00332358556652302	-3.36264342418879E-4	1.6156513669725E-6	-8.78822200986058E-4	-0.00201931085032206
52.9021819482633	9.01786905173015E-4	0.00206005854457399	-0.0024495082468815	6.62958643158043E-4	-0.00192284843524083	-0.00312464435496611	-0.0035651577282	-0.00327186970603667	-3.57444063727401E-4	1.7142334842793E-5	-8.72740386446361E-4	-0.00208324491851084
52.9417452986943	0.00104561256788004	0.0020872253459003	-0.00239548013602218	6.35777066972802E-4	-0.00197122639040277	-0.00313304935914882	-0.00356773347658125	-0.00319016476668838	-3.9458110930947E-4	1.12274078043852E-5	-8.36249499208186E-4	-0.00212993833909816
52.9812168624078	0.00124984500892401	0.00206005854457399	-0.00233338289172283	6.35777066972802E-4	-0.00199296141373639	-0.00315691957102773	-0.00356644560239063	-0.00308520299067168	-4.43033348467324E-4	-1.47873175960195E-5	-7.8455407562077E-4	-0.00214071374384908
53.0207151997374	0.0014526391933409	0.00203289174324768	-0.00227900394897482	6.62958643158043E-4	-0.00198595011588684	-0.0031886904868384	-0.0035600062314375	-0.00298115924768136	-4.74947997014413E-4	-5.6684717451408E-5	-7.29817744763508E-4	-0.0021155711327636
53.0603589514577	0.00165111860787659	0.00197855814059506	-0.00224602575143732	6.90140219343285E-4	-0.00196106000852091	-0.00320829095659248	-0.00355356686048438	-0.00290771660557055	-4.69145333642214E-4	-1.04880419245842E-4	-6.75081413906245E-4	-0.00206169410900901
